               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12864,            0.030025,                   0,            0.033505,                 0.6,            0.022625,           0.0023475,             0.12585,            0.028177,                   0,               1e-05,               1e-05,             0.09991
                   1,             0.12389,            0.031396,                   0,            0.035342,                 0.6,            0.023084,           0.0028205,             0.12517,            0.027723,                   0,          2.9993e-05,          2.9993e-05,             0.09973
                   2,             0.12298,            0.031369,                   0,             0.03606,                 0.6,            0.023339,           0.0028546,             0.12429,            0.027215,                   0,          4.9956e-05,          4.9956e-05,             0.09955
                   3,             0.12274,            0.032524,                   0,            0.035717,                 0.6,            0.022527,            0.002713,             0.12315,            0.026609,                   0,           6.986e-05,           6.986e-05,             0.09937
                   4,             0.12327,            0.031263,                   0,            0.032558,                 0.6,            0.021717,           0.0027099,             0.12165,            0.026055,                   0,          8.9681e-05,          8.9681e-05,             0.09919
                   5,             0.11208,            0.030979,                   0,            0.025313,                 0.2,            0.011201,           0.0017527,             0.11961,            0.025587,                   0,          0.00010939,          0.00010939,            0.099009
                   6,             0.11889,            0.030725,                   0,            0.026462,                 0.2,            0.011441,           0.0018265,              0.1162,            0.025095,                   0,          0.00012896,          0.00012896,            0.098829
                   7,             0.11009,            0.027946,                   0,             0.03283,                 0.2,            0.012487,           0.0020817,             0.11062,             0.02477,                   0,          0.00014837,          0.00014837,            0.098648
                   8,             0.10367,            0.030541,                   0,            0.035472,                 0.2,            0.013045,           0.0026179,             0.10507,            0.024455,                   0,           0.0001676,           0.0001676,            0.098468
                   9,            0.091703,            0.028728,                   0,            0.038535,                 0.2,            0.021663,           0.0041503,            0.099446,            0.024082,                   0,          0.00018661,          0.00018661,            0.098287
                  10,             0.10267,            0.029105,                   0,            0.043165,                 0.2,            0.022246,           0.0043711,            0.096927,            0.023941,                   0,          0.00020537,          0.00020537,            0.098105
                  11,            0.097183,             0.02979,                   0,            0.046939,                 0.2,            0.022947,           0.0045515,            0.091447,            0.023623,                   0,          0.00022388,          0.00022388,            0.097924
                  12,            0.089066,            0.028043,                   0,            0.044843,                 0.2,            0.024023,           0.0045421,            0.088643,            0.023229,                   0,           0.0002421,           0.0002421,            0.097742
                  13,            0.096536,            0.029096,                   0,            0.041104,                 0.2,            0.023268,           0.0043049,            0.087031,            0.022876,                   0,          0.00026001,          0.00026001,             0.09756
                  14,            0.082383,            0.027587,                   0,             0.04566,                 0.2,             0.02314,           0.0042989,            0.085583,            0.022582,                   0,          0.00027758,          0.00027758,            0.097378
                  15,            0.091179,            0.032611,                   0,            0.044589,                 0.2,            0.023602,           0.0056042,            0.083673,            0.022345,                   0,           0.0002948,           0.0002948,            0.097195
                  16,            0.086122,             0.02815,                   0,            0.057714,                 0.2,            0.025734,           0.0063107,            0.081619,             0.02211,                   0,          0.00031163,          0.00031163,            0.097012
                  17,            0.091784,            0.029947,                   0,            0.062335,                 0.2,            0.026299,           0.0053677,            0.080176,            0.021867,                   0,          0.00032807,          0.00032807,            0.096828
                  18,            0.092043,            0.033334,                   0,            0.072866,                 0.2,            0.026732,           0.0072542,            0.078692,            0.021646,                   0,          0.00034408,          0.00034408,            0.096644
                  19,            0.090087,            0.031466,                   0,            0.072389,                 0.2,            0.027206,           0.0058251,            0.077492,            0.021479,                   0,          0.00035965,          0.00035965,             0.09646
                  20,            0.084713,            0.027585,                   0,            0.076784,                 0.2,             0.02705,           0.0045047,            0.074521,            0.021522,                   0,          0.00037476,          0.00037476,            0.096275
                  21,            0.079838,            0.028564,                   0,            0.092006,                 0.2,            0.034536,           0.0059181,            0.071981,            0.021532,                   0,          0.00038939,          0.00038939,            0.096089
                  22,            0.085415,            0.032011,                   0,             0.12076,                 0.2,            0.038479,           0.0066606,            0.070437,            0.021429,                   0,          0.00040353,          0.00040353,            0.095904
                  23,            0.085168,            0.029855,                   0,            0.097297,                 0.2,            0.028294,            0.005244,            0.069544,            0.021179,                   0,          0.00041715,          0.00041715,            0.095717
                  24,            0.078099,            0.033727,                   0,            0.095138,                 0.2,            0.032364,           0.0037136,            0.068566,            0.020899,                   0,          0.00043024,          0.00043024,             0.09553
                  25,            0.068501,            0.027013,                   0,             0.05542,                 0.2,            0.020468,           0.0054591,            0.068269,            0.020627,                   0,          0.00044278,          0.00044278,            0.095343
                  26,            0.073623,            0.031091,                   0,            0.055315,                 0.2,             0.01999,           0.0055882,            0.067959,            0.020443,                   0,          0.00045476,          0.00045476,            0.095155
                  27,            0.079477,              0.0307,                   0,            0.070873,                 0.4,            0.039524,           0.0072171,            0.067511,            0.020316,                   0,          0.00046617,          0.00046617,            0.094966
                  28,            0.078251,            0.031033,                   0,            0.088868,                 0.2,             0.04072,           0.0059757,            0.067263,            0.020057,                   0,            0.000477,            0.000477,            0.094777
                  29,            0.072502,            0.028754,                   0,             0.13495,                 0.2,            0.057176,            0.014229,            0.065737,            0.020058,                   0,          0.00048723,          0.00048723,            0.094587
                  30,            0.076901,            0.029928,                   0,             0.18571,                 0.2,             0.07372,            0.017987,             0.06567,            0.019946,                   0,          0.00049685,          0.00049685,            0.094397
                  31,             0.06962,            0.035138,                   0,             0.32414,                 0.2,            0.098243,            0.013336,            0.066209,            0.019735,                   0,          0.00050585,          0.00050585,            0.094206
                  32,            0.070351,            0.030311,                   0,             0.32948,                 0.2,             0.11152,              0.0135,            0.066665,            0.019498,                   0,          0.00051423,          0.00051423,            0.094014
                  33,            0.073819,            0.029506,                   0,             0.90138,                 0.2,             0.26679,              0.0319,             0.06453,            0.019632,                   0,          0.00052198,          0.00052198,            0.093822
                  34,            0.072272,            0.033763,                   0,             0.96564,                 0.2,             0.27616,            0.033897,            0.064131,            0.019447,                   0,          0.00052908,          0.00052908,            0.093629
                  35,            0.069128,             0.03175,                   0,             0.18568,                 0.6,             0.13194,            0.022554,            0.062464,            0.019404,                   0,          0.00053555,          0.00053555,            0.093436
                  36,            0.067591,              0.0322,                   0,             0.91514,                 0.2,             0.28433,            0.034149,            0.062043,            0.019155,                   0,          0.00054137,          0.00054137,            0.093241
                  37,            0.064043,             0.02588,                   0,             0.24662,                 0.4,             0.19361,            0.023854,            0.061507,            0.019118,                   0,          0.00054654,          0.00054654,            0.093047
                  38,            0.074903,            0.035554,                   0,              0.3506,                 0.4,             0.22818,            0.033156,            0.061349,            0.019025,                   0,          0.00055106,          0.00055106,            0.092851
                  39,            0.068337,            0.027098,                   0,             0.47091,             0.36509,             0.24839,            0.036541,            0.060708,            0.018919,                   0,          0.00055492,          0.00055492,            0.092655
                  40,            0.052853,            0.024887,                   0,             0.47571,                 0.4,             0.24861,            0.036611,            0.061138,            0.018803,                   0,          0.00055814,          0.00055814,            0.092458
                  41,            0.063278,            0.027953,                   0,             0.48228,                 0.4,             0.25354,            0.043519,            0.060584,            0.018768,                   0,           0.0005607,           0.0005607,            0.092261
                  42,            0.057481,            0.031116,                   0,             0.48497,                 0.4,             0.27926,            0.071587,            0.060664,            0.018671,                   0,          0.00056262,          0.00056262,            0.092063
                  43,            0.060946,            0.027108,                   0,             0.65517,              0.3862,             0.35343,             0.10249,            0.059747,             0.01861,                   0,           0.0005639,           0.0005639,            0.091864
                  44,            0.067062,            0.031864,                   0,             0.65626,                 0.4,             0.35461,            0.090192,            0.059142,            0.018546,                   0,          0.00056455,          0.00056455,            0.091665
                  45,            0.069888,             0.03016,                   0,             0.65625,                 0.4,             0.36827,            0.093692,            0.058529,            0.018458,                   0,          0.00056456,          0.00056456,            0.091465
                  46,            0.058172,            0.026955,                   0,             0.99283,                 0.4,             0.50607,            0.090661,            0.058026,            0.018402,                   0,          0.00056395,          0.00056395,            0.091264
                  47,            0.075337,            0.027596,                   0,             0.99486,                 0.4,             0.50479,              0.1057,            0.056903,            0.018375,                   0,          0.00056273,          0.00056273,            0.091063
                  48,            0.066017,            0.027212,                   0,             0.99304,                 0.4,             0.49584,            0.090761,            0.055812,             0.01833,                   0,          0.00056091,          0.00056091,            0.090861
                  49,            0.062891,            0.031304,                   0,             0.66003,                 0.4,             0.36504,            0.087012,             0.05567,            0.018229,                   0,          0.00055849,          0.00055849,            0.090658
                  50,            0.067891,            0.035702,                   0,             0.99301,                 0.4,             0.48858,            0.077454,            0.054967,            0.018121,                   0,           0.0005555,           0.0005555,            0.090456
                  51,            0.059626,             0.02908,                   0,             0.99759,                 0.4,             0.49008,            0.090273,            0.054229,            0.018056,                   0,          0.00055194,          0.00055194,            0.090252
                  52,              0.0655,            0.032067,                   0,              0.9996,                 0.4,             0.51211,            0.096415,            0.053845,            0.017962,                   0,          0.00054783,          0.00054783,            0.090048
                  53,            0.062019,            0.033621,                   0,             0.56112,                 0.6,               0.546,             0.10847,            0.053228,            0.017903,                   0,          0.00054319,          0.00054319,            0.089843
                  54,            0.057095,            0.027583,                   0,             0.98847,                 0.4,             0.52652,             0.10102,             0.05312,            0.017742,                   0,          0.00053802,          0.00053802,            0.089638
                  55,            0.059101,             0.02802,                   0,             0.72221,                 0.6,             0.57694,             0.11666,            0.053848,            0.017546,                   0,          0.00053236,          0.00053236,            0.089432
                  56,            0.056958,            0.033644,                   0,             0.73962,                 0.6,             0.57686,             0.10398,            0.053714,            0.017432,                   0,          0.00052622,          0.00052622,            0.089226
                  57,            0.057125,            0.027374,                   0,             0.59961,                 0.6,              0.4181,            0.079884,            0.053323,            0.017212,                   0,          0.00051961,          0.00051961,             0.08902
                  58,            0.058228,            0.032598,                   0,             0.74899,             0.59757,             0.48342,             0.10069,            0.052867,            0.017116,                   0,          0.00051256,          0.00051256,            0.088813
                  59,            0.048809,            0.029681,                   0,             0.74888,             0.59732,             0.48236,             0.12622,            0.051226,            0.017082,                   0,           0.0005051,           0.0005051,            0.088605
                  60,            0.062762,            0.028639,                   0,             0.74528,                 0.6,             0.48458,             0.12644,             0.05073,             0.01697,                   0,          0.00049724,          0.00049724,            0.088397
                  61,            0.053982,            0.030828,                   0,             0.74676,                 0.6,             0.48741,             0.12173,            0.051144,             0.01681,                   0,          0.00048901,          0.00048901,            0.088189
                  62,            0.048794,            0.026208,                   0,                   1,             0.59788,             0.64076,             0.12679,            0.049255,            0.016856,                   0,          0.00048043,          0.00048043,             0.08798
                  63,            0.057678,            0.026651,                   0,             0.99739,                 0.6,             0.64591,             0.14604,            0.047776,            0.016872,                   0,          0.00047153,          0.00047153,            0.087772
                  64,            0.056439,            0.026398,                   0,                   1,             0.59871,             0.64579,              0.1253,            0.046986,            0.016821,                   0,          0.00046234,          0.00046234,            0.087562
                  65,            0.056089,            0.036262,                   0,                   1,             0.59977,             0.64917,             0.12491,            0.047405,            0.016685,                   0,          0.00045287,          0.00045287,            0.087353
                  66,            0.056318,            0.032565,                   0,                   1,             0.59838,             0.64619,             0.18729,            0.047333,            0.016605,                   0,          0.00044317,          0.00044317,            0.087143
