               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12864,            0.030025,                   0,            0.033505,                 0.6,            0.022625,           0.0023475,             0.12585,            0.028177,                   0,               1e-05,               1e-05,             0.09991
                   1,              0.1239,            0.031395,                   0,             0.03462,                 0.6,            0.022579,           0.0027702,              0.1252,             0.02773,                   0,           2.325e-05,           2.325e-05,            0.099723
                   2,             0.12304,            0.031362,                   0,            0.035992,                 0.6,            0.023072,           0.0028277,             0.12451,            0.027228,                   0,           1.625e-05,           1.625e-05,            0.099516
