               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.046114,            0.024417,                   0,                   1,             0.59913,             0.70199,             0.15998,            0.055077,            0.017622,                   0,           0.0016217,           0.0016217,            0.080122
                  36,            0.062877,            0.032218,                   0,             0.99916,                 0.6,             0.72036,             0.10026,            0.054875,             0.01724,                   0,           0.0016389,           0.0016389,            0.079539
                  37,            0.048689,            0.027238,                   0,                   1,             0.59908,               0.745,             0.17511,            0.054671,             0.01706,                   0,           0.0016542,           0.0016542,            0.078954
                  38,            0.064185,            0.030895,                   0,             0.74995,             0.59987,             0.71167,             0.11573,             0.05653,            0.016488,                   0,           0.0016675,           0.0016675,            0.078367
                  39,            0.047811,            0.025562,                   0,             0.59872,                 0.6,             0.68081,             0.28068,            0.049964,            0.016638,                   0,           0.0016788,           0.0016788,            0.077779
                  40,            0.053813,            0.022931,                   0,             0.59635,                 0.6,             0.56598,             0.12101,            0.052663,             0.01619,                   0,           0.0016882,           0.0016882,            0.077188
                  41,            0.043604,            0.024544,                   0,             0.59932,                 0.6,             0.65786,             0.28632,            0.049523,            0.016232,                   0,           0.0016956,           0.0016956,            0.076596
                  42,             0.04771,            0.026515,                   0,             0.59911,                 0.6,             0.68167,             0.30098,            0.048636,            0.016033,                   0,           0.0017011,           0.0017011,            0.076001
                  43,            0.060875,            0.028931,                   0,             0.74869,                 0.6,             0.69885,               0.341,            0.045969,             0.01569,                   0,           0.0017047,           0.0017047,            0.075405
                  44,            0.048358,            0.024956,                   0,             0.74975,              0.5994,             0.66167,             0.14431,             0.04716,             0.01537,                   0,           0.0017063,           0.0017063,            0.074806
                  45,            0.051153,            0.021757,                   0,             0.74992,             0.59981,             0.72682,             0.33453,             0.04178,            0.015274,                   0,           0.0017061,           0.0017061,            0.074206
                  46,             0.05566,            0.025882,                   0,             0.99832,                 0.6,               0.795,             0.40823,            0.043103,            0.015113,                   0,            0.001704,            0.001704,            0.073604
                  47,             0.04493,            0.028101,                   0,                   1,             0.59969,             0.81722,             0.43614,            0.041747,            0.014947,                   0,              0.0017,              0.0017,               0.073
                  48,            0.053935,            0.029682,                   0,             0.74967,                 0.6,               0.745,             0.24795,             0.04499,            0.014407,                   0,           0.0016943,           0.0016943,            0.072394
                  49,            0.053033,            0.025277,                   0,             0.79942,                 0.8,                0.88,              0.4955,            0.038805,            0.014391,                   0,           0.0016868,           0.0016868,            0.071787
                  50,             0.04529,            0.021934,                   0,             0.59997,                 0.6,             0.53889,             0.26643,            0.048868,            0.013832,                   0,           0.0016775,           0.0016775,            0.071178
                  51,             0.04793,            0.022146,                   0,             0.99909,                 0.6,             0.81722,             0.33447,             0.04318,            0.013836,                   0,           0.0016665,           0.0016665,            0.070567
                  52,            0.047063,            0.019848,                   0,             0.99495,                 0.6,             0.80929,             0.31804,            0.044816,            0.013756,                   0,           0.0016539,           0.0016539,            0.069954
                  53,            0.039884,            0.017018,                   0,             0.66596,                 0.8,             0.64111,             0.28602,            0.044328,            0.013587,                   0,           0.0016397,           0.0016397,             0.06934
                  54,            0.054328,            0.029267,                   0,             0.62462,             0.99859,             0.85333,             0.50873,            0.041653,            0.013521,                   0,           0.0016239,           0.0016239,            0.068724
                  55,            0.046951,            0.022125,                   0,             0.57105,                 0.8,             0.70929,             0.33818,            0.044136,            0.013289,                   0,           0.0016067,           0.0016067,            0.068107
                  56,            0.044426,            0.019899,                   0,             0.71397,             0.99866,             0.88071,             0.34904,             0.04159,            0.013323,                   0,            0.001588,            0.001588,            0.067488
                  57,             0.04686,            0.023388,                   0,             0.71381,             0.99799,             0.89786,             0.59227,            0.041989,            0.013025,                   0,           0.0015679,           0.0015679,            0.066868
                  58,            0.046468,            0.019376,                   0,             0.97856,                 0.6,             0.80929,             0.28343,            0.041647,            0.012997,                   0,           0.0015465,           0.0015465,            0.066246
                  59,            0.048123,             0.01818,                   0,             0.83238,             0.99429,             0.96167,             0.44385,             0.04046,            0.012953,                   0,           0.0015238,           0.0015238,            0.065624
                  60,            0.043068,            0.023921,                   0,             0.99935,                 0.6,             0.80526,              0.3184,            0.040215,            0.012868,                   0,           0.0014999,           0.0014999,               0.065
                  61,            0.045731,            0.023303,                   0,              0.8328,                   1,             0.96167,             0.59321,            0.037135,            0.012846,                   0,            0.001475,            0.001475,            0.064375
                  62,            0.040987,             0.02691,                   0,              0.8328,                   1,             0.96167,             0.59321,            0.037135,            0.012846,                   0,            0.001449,            0.001449,            0.063749
                  63,            0.040296,            0.020859,                   0,             0.83315,                   1,             0.96167,             0.62311,            0.036672,            0.012731,                   0,            0.001422,            0.001422,            0.063122
                  64,            0.047202,            0.027319,                   0,             0.82936,                   1,             0.96167,             0.64278,            0.035936,            0.012634,                   0,           0.0013942,           0.0013942,            0.062494
                  65,            0.039757,            0.025378,                   0,             0.71252,                   1,             0.88071,             0.42571,            0.042253,            0.012278,                   0,           0.0013655,           0.0013655,            0.061866
                  66,            0.040745,             0.01913,                   0,             0.99833,                   1,               0.995,             0.58644,            0.039142,            0.012225,                   0,           0.0013362,           0.0013362,            0.061236
                  67,            0.046367,            0.024408,                   0,             0.83262,                   1,             0.92833,             0.41423,            0.037458,            0.012216,                   0,           0.0013062,           0.0013062,            0.060606
                  68,            0.034539,            0.021074,                   0,             0.71403,                   1,             0.89786,             0.55211,            0.038296,            0.011962,                   0,           0.0012757,           0.0012757,            0.059976
                  69,            0.049545,            0.020079,                   0,             0.71403,                   1,             0.89786,             0.55211,            0.038296,            0.011962,                   0,           0.0012447,           0.0012447,            0.059345
                  70,            0.041151,            0.024731,                   0,             0.83268,                   1,             0.96167,             0.52515,            0.038468,            0.011829,                   0,           0.0012134,           0.0012134,            0.058713
                  71,             0.03555,            0.020291,                   0,             0.83249,                   1,             0.96167,             0.67779,            0.035534,            0.011836,                   0,           0.0011818,           0.0011818,            0.058082
                  72,            0.039785,            0.019494,                   0,             0.99966,                   1,               0.995,             0.69068,            0.034307,            0.011788,                   0,             0.00115,             0.00115,             0.05745
                  73,             0.03613,             0.02246,                   0,             0.83309,                   1,             0.92833,             0.60896,            0.035466,            0.011754,                   0,           0.0011182,           0.0011182,            0.056818
                  74,            0.043049,            0.022117,                   0,             0.83309,                   1,             0.92833,             0.60896,            0.035466,            0.011754,                   0,           0.0010864,           0.0010864,            0.056186
                  75,            0.037513,            0.021558,                   0,             0.99908,                   1,               0.995,             0.70712,            0.034219,            0.011664,                   0,           0.0010547,           0.0010547,            0.055555
                  76,            0.031501,            0.017952,                   0,                   1,             0.99839,               0.995,             0.70267,            0.034381,            0.011486,                   0,           0.0010233,           0.0010233,            0.054923
                  77,            0.041405,             0.01835,                   0,                   1,             0.99939,               0.995,             0.68587,            0.034866,            0.011471,                   0,          0.00099214,          0.00099214,            0.054292
                  78,            0.041956,            0.022042,                   0,                   1,             0.99939,               0.995,             0.68587,            0.034866,            0.011471,                   0,          0.00096146,          0.00096146,            0.053661
                  79,              0.0346,             0.01946,                   0,             0.83257,                   1,             0.96167,             0.71898,            0.033247,            0.011433,                   0,          0.00093132,          0.00093132,            0.053031
                  80,            0.045083,            0.019879,                   0,              0.8327,                   1,             0.92833,             0.63708,            0.033772,            0.011382,                   0,          0.00090182,          0.00090182,            0.052402
                  81,            0.039722,            0.022827,                   0,                   1,             0.99996,               0.995,             0.73228,             0.03359,            0.011167,                   0,          0.00087307,          0.00087307,            0.051773
                  82,            0.026678,            0.020418,                   0,                   1,             0.99996,               0.995,             0.73228,             0.03359,            0.011167,                   0,          0.00084516,          0.00084516,            0.051145
                  83,             0.03597,            0.019993,                   0,             0.99854,                   1,               0.995,             0.78848,            0.034699,            0.011048,                   0,          0.00081821,          0.00081821,            0.050518
                  84,            0.037643,            0.023174,                   0,             0.99972,                   1,               0.995,             0.72569,            0.034997,               0.011,                   0,          0.00079232,          0.00079232,            0.049892
                  85,            0.029537,            0.016135,                   0,             0.99972,                   1,               0.995,             0.72569,            0.034997,               0.011,                   0,          0.00076759,          0.00076759,            0.049268
                  86,            0.038589,            0.020428,                   0,             0.99935,                   1,               0.995,             0.76519,            0.034684,            0.010946,                   0,          0.00074413,          0.00074413,            0.048644
                  87,            0.033946,            0.016321,                   0,                   1,             0.99955,               0.995,             0.75517,            0.033303,            0.010841,                   0,          0.00072204,          0.00072204,            0.048022
                  88,            0.039807,            0.024515,                   0,                   1,             0.99955,               0.995,             0.75517,            0.033303,            0.010841,                   0,          0.00070143,          0.00070143,            0.047401
                  89,            0.040677,            0.017255,                   0,                   1,             0.99917,               0.995,             0.67522,            0.033823,            0.010806,                   0,          0.00068239,          0.00068239,            0.046782
                  90,            0.034982,            0.022285,                   0,                   1,              0.9987,               0.995,             0.55529,            0.034133,            0.010902,                   0,          0.00066503,          0.00066503,            0.046165
                  91,            0.034908,            0.022987,                   0,                   1,              0.9987,               0.995,             0.55529,            0.034133,            0.010902,                   0,          0.00064945,          0.00064945,            0.045549
                  92,            0.036455,            0.020916,                   0,             0.99868,                   1,               0.995,             0.57127,            0.033235,            0.010848,                   0,          0.00063575,          0.00063575,            0.044936
                  93,            0.034707,            0.018244,                   0,             0.99969,                   1,               0.995,             0.67788,            0.033247,            0.010688,                   0,          0.00062401,          0.00062401,            0.044324
                  94,            0.034272,            0.022991,                   0,             0.99969,                   1,               0.995,             0.67788,            0.033247,            0.010688,                   0,          0.00061435,          0.00061435,            0.043714
                  95,             0.04001,            0.020623,                   0,                   1,             0.99987,               0.995,             0.68856,            0.032835,             0.01066,                   0,          0.00060686,          0.00060686,            0.043107
                  96,            0.038804,            0.021382,                   0,                   1,             0.99987,               0.995,             0.68856,            0.032835,             0.01066,                   0,          0.00060162,          0.00060162,            0.042502
                  97,            0.035382,             0.01842,                   0,             0.99879,                   1,               0.995,             0.67522,             0.03346,            0.010636,                   0,          0.00059872,          0.00059872,            0.041899
                  98,            0.029125,            0.015148,                   0,             0.99904,                   1,               0.995,             0.61572,            0.033452,            0.010681,                   0,          0.00059827,          0.00059827,            0.041298
                  99,            0.035006,            0.018018,                   0,             0.99904,                   1,               0.995,             0.61572,            0.033452,            0.010681,                   0,          0.00060033,          0.00060033,              0.0407
