               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12495,            0.031335,                   0,            0.022576,                 0.4,            0.012889,           0.0022764,             0.12581,            0.027984,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.11061,            0.029734,                   0,            0.020006,                 0.4,             0.01177,           0.0021453,             0.12487,            0.027277,                   0,          0.00010998,          0.00010998,             0.09901
                   2,             0.10866,            0.031756,                   0,             0.01735,                 0.2,           0.0068615,           0.0016875,               0.123,            0.026532,                   0,          0.00016985,          0.00016985,             0.09847
                   3,              0.1132,            0.032011,                   0,             0.02465,                 0.2,           0.0096982,           0.0015804,              0.1196,            0.025972,                   0,          0.00022954,          0.00022954,             0.09793
                   4,             0.10061,             0.03056,                   0,            0.028703,                 0.2,            0.014389,           0.0014389,             0.10919,            0.025836,                   0,          0.00028897,          0.00028897,            0.097389
                   5,            0.099872,            0.030859,                   0,            0.037661,                 0.2,            0.015159,           0.0015609,            0.098637,            0.025552,                   0,          0.00034806,          0.00034806,            0.096848
                   6,            0.096763,            0.030635,                   0,             0.05771,             0.19621,            0.016859,           0.0041769,            0.092876,             0.02512,                   0,          0.00040673,          0.00040673,            0.096307
                   7,            0.085748,            0.030871,                   0,            0.078456,                 0.2,            0.022193,           0.0055931,            0.089957,             0.02477,                   0,          0.00046491,          0.00046491,            0.095765
                   8,            0.075005,            0.030055,                   0,            0.089576,                 0.2,            0.026053,           0.0066223,            0.085142,            0.024512,                   0,          0.00052251,          0.00052251,            0.095223
                   9,            0.082848,            0.031202,                   0,             0.13914,                 0.2,            0.054776,            0.012167,            0.082893,            0.024201,                   0,          0.00057946,          0.00057946,            0.094679
                  10,            0.081478,            0.030783,                   0,             0.14026,                 0.4,            0.079621,            0.011934,            0.080758,            0.023778,                   0,          0.00063568,          0.00063568,            0.094136
                  11,            0.086073,            0.028607,                   0,             0.19579,                 0.2,            0.054197,            0.014716,            0.079393,            0.023502,                   0,          0.00069111,          0.00069111,            0.093591
                  12,            0.081087,            0.031173,                   0,             0.16382,                 0.2,            0.052222,           0.0091408,            0.077263,            0.023324,                   0,          0.00074567,          0.00074567,            0.093046
                  13,            0.066969,            0.029432,                   0,             0.21957,                 0.2,            0.077997,            0.013404,            0.077646,            0.022728,                   0,          0.00079928,          0.00079928,            0.092499
                  14,            0.077403,            0.030983,                   0,             0.49927,             0.19971,             0.14451,             0.02544,             0.07401,            0.022376,                   0,          0.00085188,          0.00085188,            0.091952
                  15,            0.081421,            0.031881,                   0,             0.37866,             0.37155,               0.192,            0.019713,            0.072055,            0.021944,                   0,          0.00090341,          0.00090341,            0.091403
                  16,            0.069592,            0.031901,                   0,             0.31869,             0.19121,             0.10246,            0.012303,            0.070138,            0.021716,                   0,          0.00095378,          0.00095378,            0.090854
                  17,            0.057295,            0.029217,                   0,             0.19915,                 0.2,            0.092077,            0.013707,             0.06815,             0.02156,                   0,           0.0010029,           0.0010029,            0.090303
                  18,            0.066721,              0.0326,                   0,             0.48987,                 0.2,             0.16769,            0.020782,            0.067641,            0.021277,                   0,           0.0010508,           0.0010508,            0.089751
                  19,            0.066127,            0.035767,                   0,             0.47411,                 0.2,             0.17864,            0.021576,            0.066998,            0.020917,                   0,           0.0010974,           0.0010974,            0.089197
                  20,            0.061287,            0.034229,                   0,             0.65936,                 0.4,             0.29996,            0.040142,            0.067303,             0.02068,                   0,           0.0011426,           0.0011426,            0.088643
                  21,            0.057232,            0.033307,                   0,             0.24635,                 0.2,             0.10371,            0.043589,            0.069527,            0.020304,                   0,           0.0011863,           0.0011863,            0.088086
                  22,            0.056911,            0.030448,                   0,              0.6591,                 0.4,             0.28874,            0.032232,            0.069524,            0.020098,                   0,           0.0012285,           0.0012285,            0.087529
                  23,             0.05737,            0.027249,                   0,             0.65621,                 0.4,              0.3066,            0.044317,            0.068791,             0.01984,                   0,           0.0012692,           0.0012692,            0.086969
                  24,            0.067294,            0.035172,                   0,             0.66024,                 0.4,             0.31829,            0.039028,            0.067422,            0.019616,                   0,           0.0013083,           0.0013083,            0.086408
                  25,            0.062426,            0.029739,                   0,              0.6636,                 0.4,             0.32374,            0.054073,            0.066179,            0.019507,                   0,           0.0013457,           0.0013457,            0.085846
                  26,            0.064322,            0.030476,                   0,             0.46147,                 0.6,             0.39218,            0.055603,            0.066237,            0.019232,                   0,           0.0013815,           0.0013815,            0.085281
                  27,            0.070337,            0.031996,                   0,             0.49321,                 0.6,             0.32978,            0.046086,             0.06773,             0.01889,                   0,           0.0014155,           0.0014155,            0.084715
                  28,            0.055187,            0.029157,                   0,             0.49602,                 0.6,             0.33256,            0.064359,            0.064113,            0.018815,                   0,           0.0014477,           0.0014477,            0.084148
                  29,              0.0604,            0.032408,                   0,             0.49633,                 0.6,             0.39218,            0.091152,            0.062455,            0.018823,                   0,           0.0014782,           0.0014782,            0.083578
                  30,            0.061587,            0.028399,                   0,             0.74788,              0.5949,             0.52109,            0.087559,            0.062099,             0.01869,                   0,           0.0015068,           0.0015068,            0.083007
                  31,            0.058936,            0.027665,                   0,             0.29605,                 0.6,             0.25028,            0.077527,            0.062924,            0.018555,                   0,           0.0015336,           0.0015336,            0.082434
                  32,             0.05161,            0.034776,                   0,                   1,             0.59853,             0.62728,             0.11431,            0.060433,            0.018248,                   0,           0.0015585,           0.0015585,            0.081859
                  33,            0.052051,            0.026705,                   0,             0.99396,                 0.6,             0.63072,             0.10036,             0.05928,            0.018066,                   0,           0.0015815,           0.0015815,            0.081282
                  34,             0.05252,            0.029731,                   0,             0.49751,                 0.6,             0.46211,            0.090978,            0.055353,            0.017871,                   0,           0.0016026,           0.0016026,            0.080703
